Vez,Quantidade,Tempo(segundos)
1,1000,0.00100
2,1000,0.00000
3,1000,0.00100
4,1000,0.00000
5,1000,0.00000
6,1000,0.00100
7,1000,0.00000
8,1000,0.00000
9,1000,0.00000
10,1000,0.00100
11,1000,0.00000
12,1000,0.00000
13,1000,0.00100
14,1000,0.00000
15,1000,0.00100
16,1000,0.00000
17,1000,0.00000
18,1000,0.00100
19,1000,0.00000
20,1000,0.00000
21,1000,0.00100
22,1000,0.00000
23,1000,0.00000
24,1000,0.00000
25,1000,0.00000
26,1000,0.00000
27,1000,0.00000
28,1000,0.00000
29,1000,0.00000
30,1000,0.00000
31,1000,0.00000
32,1000,0.00000
33,1000,0.00000
34,1000,0.00000
35,1000,0.00000
36,1000,0.00000
37,1000,0.00000
38,1000,0.00000
39,1000,0.00000
40,1000,0.00000
41,1000,0.00000
42,1000,0.00000
43,1000,0.00000
44,1000,0.00000
45,1000,0.00000
46,1000,0.00000
47,1000,0.00000
48,1000,0.00000
49,1000,0.00000
50,1000,0.00000
51,1000,0.00000
52,1000,0.00000
53,1000,0.00000
54,1000,0.00000
55,1000,0.00000
56,1000,0.00000
57,1000,0.00000
58,1000,0.00000
59,1000,0.00000
60,1000,0.00000
61,1000,0.00000
62,1000,0.00000
63,1000,0.00000
64,1000,0.00000
65,1000,0.00000
66,1000,0.01500
67,1000,0.00000
68,1000,0.00000
69,1000,0.00000
70,1000,0.00000
71,1000,0.00000
72,1000,0.00000
73,1000,0.00000
74,1000,0.00000
75,1000,0.00000
76,1000,0.00000
77,1000,0.00000
78,1000,0.00000
79,1000,0.00000
80,1000,0.00000
81,1000,0.00000
82,1000,0.00000
83,1000,0.00000
84,1000,0.00000
85,1000,0.00000
86,1000,0.00000
87,1000,0.00000
88,1000,0.00000
89,1000,0.00000
90,1000,0.00000
91,1000,0.00000
92,1000,0.00000
93,1000,0.00000
94,1000,0.00000
95,1000,0.00000
96,1000,0.00000
97,1000,0.00000
98,1000,0.00000
99,1000,0.00000
100,1000,0.00000
1,5000,0.01600
2,5000,0.00000
3,5000,0.01600
4,5000,0.00000
5,5000,0.01500
6,5000,0.00000
7,5000,0.02100
8,5000,0.00700
9,5000,0.00900
10,5000,0.00800
11,5000,0.00800
12,5000,0.00900
13,5000,0.00800
14,5000,0.00800
15,5000,0.00900
16,5000,0.00800
17,5000,0.00800
18,5000,0.00900
19,5000,0.00800
20,5000,0.00800
21,5000,0.00900
22,5000,0.00800
23,5000,0.00800
24,5000,0.00900
25,5000,0.00800
26,5000,0.01100
27,5000,0.00600
28,5000,0.00800
29,5000,0.01300
30,5000,0.00400
31,5000,0.00800
32,5000,0.00800
33,5000,0.00900
